questionOptionID,optionLabel,optionValue,questionID
183,D,Dwight Yoakam,45
184,A,Reba McIntire,46
185,B,Tanya Tucker,46
186,C,Dolly Parton,46
187,D,Naomi Judd,46
188,A,Willie nelson,47
189,B,Randy Travis,47
190,C,George strait,47
191,D,Dwight Yoakam,47
192,A,Willie nelson,48
193,B,Travis Tritt,48
194,C,Randy Travis,48
195,D,Tim McGraw,48
196,A,Travis Tritt,49
197,B,Johnny Cash,49
198,C,Randy Travis,49
199,D,Willie Nelson,49
200,A,Jessica Lange,50
201,B,Beverly DAngelo,50
202,C,Reba McIntire,50
203,D,Sissy Spacek,50
204,A,Travis Tritt,51
205,B,Tim McGraw,51
206,C,Alan Jackson,51
207,D,George Strait,51
208,A,Waylon Jennings,52
209,B,Willie Nelson,52
210,C,Glen Campbell,52
211,D,Kris Kristofferson,52
212,A,Billy Ray Cyrus,53
213,B,Randy Travis,53
214,C,Travis Tritt,53
215,D,George Strait,53
216,A,Willie Nelson,54
217,B,Kris Kristofferson,54
218,C,Johnny Cash,54
219,D,Waylon Jennings,54
220,A,Tim McGraw,55
221,B,Travis Tritt,55
222,C,Willie Nelson,55
223,D,Dwight Yoakam,55
224,A,George Hamilton,56
225,B,Richard Thomas,56
226,C,Kurt Russell,56
227,D,David Keith,56
228,A,George Hamilton IV,57
229,B,Richard Thomas,57
230,C,George Hamilton,57
231,D,Travis Tritt,57
232,A,Dolly Parton,58
233,B,Sissy Spacek,58
234,C,Beverly DAngelo,58
235,D,Jessica Lange,58
236,A,Kris Kristofferson,59
237,B,Glen Campbell,59
238,C,Travis Tritt,59
239,D,Mel Tillis,59
240,A,Faith Hill,60
241,B,Tanya Tucker,60
242,C,Reba McIntire,60
243,D,Wynona Judd,60
244,A,Blues Brothers,61
245,B,Gangsters,61
246,C,Scarface,61
247,D,Mafia,61
248,A,Turtle Blues,62
249,B,Piece of My Heart,62
250,C,Ball and Chain,62
251,D,Combination of the Two,62
252,A,Touch Me,63
253,B,Love Her Madly,63
254,C,People Are Strange,63
255,D,Light My Fire,63
256,A,Foxey Lady,64
257,B,All Along the Watchtower,64
258,C,Are You Experienced?,64
259,D,Purple Haze,64
260,A,Born to Be Wild,65
261,B,Screaming Night Hog,65
262,C,Magic Carpet Ride,65
263,D,Rock Me,65
264,A,Honkey Tonk Woman,66
265,B,Gimme Shelter,66
266,C,Brown Sugar,66
267,D,Get Off of My Cloud,66
268,A,My Generation,67
269,B,Magic Bus,67
270,C,Behind Blue Eyes,67
271,D,Pinball Wizard,67
272,A,The Chain,68
273,B,Say You Love Me,68
274,C,Dreams,68
275,D,Tusk,68
276,A,Strawberry Fields Forever,69
277,B,Magical Mystery Tour,69
278,C,Norwegian Wood,69
279,D,Ticket To Ride,69
280,A,Tequila Sunrise,70
281,B,Life in the Fast Lane,70
282,C,Hotel California,70
283,D,Witchy Woman,70
284,A,Whole Lotta Love,71
285,B,The Immigrant Song,71
286,C,Good Times Bad Times,71
287,D,Black Dog,71
288,A,"Why Not Whippet, by Slim Whitman the Whipettes",72
289,B,Whipped Again  by Musical Youth,72
290,C,Whip It  by Devo,72
291,D,Whip Dreams by Tangerine Dream,72
292,A,Summer of Unleaded by John Gold,73
293,B,Guitar Hog by Pluck This String,73
294,C,Summer of 69 by Bryan Adams,73
295,D,Summer of Love by Goldenseal,73
296,A,Teen Design by Debbie Gibson,74
297,B,Kratwerk Kolors by The Mannheim Steamroller,74
298,C,Karma Chameleon by Boy George and Culture Club,74
299,D,The Colors Song by Kajagoogoo,74
300,A,"Hotel, motel, Holiday Inn!",75
301,B,"Our house, in the middle of our street.",75
302,C,"I want to tell her that I love her, but the point is probly moot!",75
303,D,I bless the rain down in Africa!,75
304,A,Johnny Loves Chachee!  by Bergman,76
305,B,Shout  by A-ha!,76
306,C,Africa by Toto,76
307,D,Alive and Kickin by Simple Minds,76
308,A,Synchronicity by Sting,77
309,B,Let the Music Play by Shannon,77
310,C,True by Spandau Ballet,77
311,D,Thriller by Michael Jackson,77
312,A,True,78
313,B,False,78
314,A,Carol Burnett,79
315,B,Phyllis George,79
316,C,Dorothy Lyman,79
317,D,Vicki Lawrence,79
318,A,The Poppy Family,80
319,B,Pilot,80
320,C,Bay City Rollers,80
321,D,Nazareth,80
322,A,Maria Muldaur,81
323,B,Tiny Tim,81
324,C,Donny Hathaway,81
325,D,Andy Kim,81
326,A,Bo Donaldson and The Heywoods,82
327,B,Jigsaw,82
328,C,Terrry Jacks,82
329,D,Paper Lace,82
330,A,Dan Hill,83
331,B,Shaun Cassidy,83
332,C,Morris Albert,83
333,D,Rupert Holmes,83
334,A,Looking Glass,84
335,B,Foghat,84
336,C,Sweet,84
337,D,Fleetwood Mac,84
338,A,King Vitamin,85
339,B,Krokus,85
340,C,King Harvest,85
341,D,King Crimson,85
342,A,Jimmy Greene,86
343,B,Michael Grey,86
344,C,Johnnie Whitaker,86
345,D,Kenny Nolan,86
346,A,The Stories,87
347,B,Hot Tuna,87
348,C,Thin Lizzy,87
349,D,10cc,87
350,A,Jean Knight,88
351,B,Phoebe Snow,88
352,C,Melba Moore,88
353,D,Janis Ian,88
354,A,Soul,89
355,B,Jeans,89
356,C,Flower,89
357,D,Hair,89
358,A,your wallet,90
359,B,my pain,90
360,C,your pants,90
361,D,your car,90
362,A,flashlight shinin,91
363,B,blowtorch burnin,91
364,C,crying on the stair,91
365,D,madman screamin,91
366,A,ever gonna leave me alone,92
367,B,strong enough to be my man,92
368,C,going to leave me here,92
369,D,in my room again,92
370,A,"the weather, yeah",93
371,B,"deception, yeah",93
372,C,"the bad guys, yeah",93
373,D,"the sunshine, yeah",93
374,A,Its too bright in here,94
375,B,Leave me alone,94
376,C,Carry me home,94
377,D,Lets go to bed,94
378,A,bag,95
379,B,rag,95
380,C,jag,95
381,D,mag,95
382,A,Im not scared,96
383,B,is my sister,96
384,C,are you,96
385,D,is your mom,96
386,A,cars,97
387,B,wars,97
388,C,scars,97
389,D,bars,97
390,A,that stinky shoe,98
391,B,the boys in blue,98
392,C,me and you,98
393,D,how much I grew,98
394,A,A-Ha,99
395,B,Soft Cell,99
396,C,Depeche Mode,99
397,D,Tears For Fears,99
398,A,The Tubes,100
399,B,Flock of Seagulls,100
400,C,Right Said Fred,100
401,D,Siouxee and The Banshees,100
402,A,Lucretia MacEvil,101
403,B,Little Eva,101
404,C,Beatrix Potter,101
405,D,Lesley Gore,101
406,A,Sir- Mix - Alot,102
407,B,Vanilla Ice,102
408,C,Kid Rock,102
409,D,Flynilla Ice,102
410,A,Cyndi Lauper,103
411,B,Laura Nyro,103
412,C,Phoebe Snow,103
413,D,Toni Basil,103
414,A,Carl Weathers,104
415,B,Carl Douglas,104
416,C,Carl Thomas,104
417,D,Fred Douglas,104
418,A,Scott McKenzie,105
419,B,Peter Tork,105
420,C,Desi Arnaz Jr.,105
421,D,John Phillips,105
422,A,Benny Mardones,106
423,B,Norman Greenbaum,106
424,C,Marc Cohn,106
425,D,Curtis Stigers,106
426,A,MC Serch,107
427,B,MC Hammer,107
428,C,Sir Mix-a-Lot,107
429,D,Gerardo,107
430,A,Chad  Jeremy,108
431,B,Zager  Evans,108
432,C,Peter  Gordon,108
433,D,Proctor  Gamble,108
434,A,Men Without Hats,109
435,B,The Tubes,109
436,C,Asia,109
437,D,Flock of Seagulls,109
438,A,Buckner and Garcia,110
439,B,Rupert Holmes,110
440,C,Ashford and Simpson,110
441,D,Split Enz,110
442,A,David Lee Roth,111
443,B,Timmy T.,111
444,C,John Cougar,111
445,D,Rick Astley,111
446,A,Genesis,112
447,B,Toto,112
448,C,Survivor,112
449,D,Asia,112
450,A,Culture Club,113
451,B,Kajagoogoo,113
452,C,Men Without Hats,113
453,D,Men At Work,113
454,A,Eddy Grant,114
455,B,Bob Marley,114
456,C,Ziggy Marley,114
457,D,Robbie Shakespeare,114
458,A,Billy Ocean,115
459,B,Jermaine Jackson,115
460,C,Peabo Bryson,115
461,D,Freddie Jackson,115
462,A,Cyndi Lauper,116
463,B,Stacy Lattisaw,116
464,C,Stacy Q,116
465,D,Pebbles,116
466,A,New Edition,117
467,B,Musical Youth,117
468,C,Boyz to Men,117
469,D,The Jacksons,117
470,A,Will To Power,118
471,B,Swing Out Sister,118
472,C,The Pet Shop Boys,118
473,D,Shakespeares Sister,118
474,A,K. C and The Sunshine Band,119
475,B,Chic,119
476,C,Shalamar,119
477,D,Mary Jane Girls,119
478,A,J. Geils Band,120
479,B,The Knack,120
480,C,The Romantics,120
481,D,Aerosmith,120
482,A,Duran Duran,121
483,B,Kajagoogoo,121
484,C,Modern English,121
485,D,A-Ha,121
486,A,Pet Shop Boys,122
487,B,The Smiths,122
488,C,New Order,122
489,D,Spandau Ballet,122
490,A,Spencer Davis Group,123
491,B,Cream,123
492,C,Blind Faith,123
493,D,Traffic,123
494,A,False,124
495,B,True,124
496,A,Jefferson Starship,125
497,B,The Doobie Brothers,125
498,C,The Eagles,125
499,D,Fleetwood Mac,125
500,A,The Go Gos,126
501,B,Bananarama,126
502,C,The Bangles,126
503,D,Psychedelic Furs,126
504,A,Loverboy,127
505,B,Boston,127
506,C,Journey,127
507,D,Electric Light Orchestra (ELO),127
508,A,Kim Wilde,128
509,B,Devo,128
510,C,Katrina  the Waves,128
511,D,Eurythmics,128
512,A,AC/DC,129
513,B,King Diamond,129
514,C,Rush,129
515,D,Kiss,129
516,A,Marilyn Manson,130
517,B,Ozzy Osbourne,130
518,C,Alice Cooper,130
519,D,David Bowie,130
520,A,Judas Priest,131
521,B,Dream Theater,131
522,C,Iron Maiden,131
523,D,Exodus,131
524,A,Tesla,132
525,B,Twisted Sister,132
526,C,Megadeth,132
527,D,Queensryche,132
528,A,Cannibal Corpse,133
529,B,Death Angel,133
530,C,Grim Reaper,133
531,D,Megadeth,133
532,A,Warrant,134
533,B,Poison,134
534,C,Alice Cooper,134
535,D,Cinderella,134
536,A,Testament,135
537,B,Nuclear Assault,135
538,C,Exodus,135
539,D,Anthrax,135
540,A,Iron Maiden,136
541,B,Dio,136
542,C,Dokken,136
543,D,Dangerous Toys,136
544,A,Biohazard,137
545,B,Gwar,137
546,C,Metal Church,137
547,D,Corrosion of Conformity,137
548,A,Great White,138
549,B,Whitesnake,138
550,C,White Zombie,138
551,D,White Lion,138
552,A,1968,139
553,B,1967,139
554,C,1966,139
555,D,1969,139
556,A,Jeff Lynne,140
557,B,John Bonham,140
558,C,Carmine Appice,140
559,D,Kenny Jones,140
560,A,1969,141
561,B,1967,141
562,C,1968,141
563,D,1966,141
564,A,Phil Lynott,142
565,B,Captain Beefheart,142
566,C,Frank Zappa,142
567,D,Lowell George,142
568,A,Johnnie Winter,143
569,B,Robert Palmer,143
570,C,Jeff Lynne,143
571,D,Gary Brooker,143
572,A,Spencer Davis Group,144
573,B,Blind Faith,144
574,C,Traffic,144
575,D,Moody Blues,144
576,A,England,145
577,B,Scotland,145
578,C,Bolivia,145
579,D,United States,145
580,A,The Zombies,146
581,B,Gerry and the Pacemakers,146
582,C,The Animals,146
583,D,The Yardbirds,146
584,A,My Corona,147
585,B,My Sharona,147
586,C,Knack Three Times,147
587,D,My Bologna,147
588,A,Bridge Over Troubled Water,148
589,B,50 Ways To Leave Your Lover,148
590,C,Me And Julio,148
591,D,Cecilia,148
592,A,Satisfaction,149
593,B,Wild Horses,149
594,C,Angie,149
595,D,Get Used To It,149
596,A,Colour My World,150
597,B,If You Leave Me Now,150
598,C,Saturday in The Park,150
599,D,Feeling Stronger Everyday,150
600,A,Midnight at The Oasis,151
601,B,You Light up My Life,151
602,C,At Seventeen,151
603,D,Those Were the Days,151
604,A,The Nights on Broadway,152
605,B,Shadow Dancing,152
606,C,Thicker Than Water,152
607,D,I Just Want to Be Your Everything,152
608,A,The Love You Save,153
609,B,Ease on Down the Road,153
610,C,Ben,153
611,D,Dancing Machine,153
612,A,Have You Ever Been Mellow,154
613,B,Youre No Good,154
614,C,I Honestly Love You,154
615,D,Hopelessly Devoted to You,154
616,A,American Pie,155
617,B,The Lion Sleeps Tonight,155
618,C,Irreplaceable,155
619,D,Vincent,155
620,A,Burton Cummings Jr.,156
621,B,Andrew Gold,156
622,C,Leo Sayer,156
623,D,Henry Gross,156
624,A,Pablo Cruise,157
625,B,Poco,157
626,C,Average White Band,157
627,D,Ace,157
628,A,1980,158
629,B,1973,158
630,C,1975,158
631,D,1971,158
632,A,Alan O Day,159
633,B,Leo Sayer,159
634,C,David Cassidy,159
635,D,Rick Springfield,159
636,A,Dave Mason,160
637,B,Traffic,160
638,C,Dan Hill,160
639,D,Badfinger,160
640,A,Blue Swede,161
641,B,Blues Image,161
642,C,Blues Magic,161
643,D,Blues Traveler,161
644,A,Vanity Fare,162
645,B,ABBA,162
646,C,White Plains,162
647,D,Coven,162
648,A,Mouth and MacNeal,163
649,B,Henry Gross,163
650,C,Cymarron,163
651,D,England Dan and John Ford Coley,163
652,A,Sammy Johns,164
653,B,Sherman Kelly,164
654,C,Coven,164
655,D,Alive  and Kicking,164
656,A,First Class,165
657,B,Gladys Knight  The Pips,165
658,C,Fifth Dimension,165
659,D,The Beach Boys,165
660,A,White Plains,166
661,B,Johnny Maestro and The Brooklyn Bridge,166
662,C,The Manhattans,166
663,D,Boston,166
664,A,The Mamas and the Papas,167
665,B,Starland Vocal Band,167
666,C,Heart,167
667,D,Abba,167
668,A,Bryan Adams,168
669,B,Paul Revere and The Raiders,168
670,C,Daniel Boone,168
671,D,Leo Sayer,168
672,A,Maxine Nightingale,169
673,B,Natalie Cole,169
674,C,Crystal Gayle,169
675,D,Diana Ross,169
676,A,Paul Anka,170
677,B,Starbuck,170
678,C,Paul Revere and The Raiders,170
679,D,Paul Williams,170
680,A,False,171
681,B,True,171
682,A,"Memphis, Tennessee",172
683,B,"Nashville, Tennessee",172
684,C,"New York, New York",172
685,D,"Hollywood, California",172
686,A,Way Down,173
687,B,In the Ghetto,173
688,C,Suspicious Minds,173
689,D,Return to Sender,173
690,A,No,174
691,B,Yes,174
692,A,Mel Gibson,175
693,B,Kurt Russell,175
694,C,Ronnie McDowell,175
695,D,Don Johnson,175
696,A,Ronald Regan,176
697,B,Richard Nixon,176
698,C,Jimmy Carter,176
699,D,Bill Clinton,176
700,A,Call Me,177
701,B,Eye of the Tiger,177
702,C,Heat of the Moment,177
703,D,Waiting for a Girl Like You,177
704,A,Its A Heartache,178
705,B,Queen of Hearts,178
706,C,Total Eclipse of the Heart,178
707,D,The Tide Is High,178
708,A,Endless Love,179
709,B,Baby Come to Me,179
710,C,You and I,179
711,D,Gonna Make My Brown Eyes Blue,179
712,A,Kiss,180
713,B,1999,180
714,C,When Doves Cry,180
715,D,Little Red Corvette,180
716,A,Im Your Captain,181
717,B,Muscrat Love,181
718,C,Love Will Keep Us Together,181
719,D,Do That To Me One More Time,181
720,A,Here I Go Again,182
721,B,Down Under,182
722,C,Every Rose Has Its Thorn,182
723,D,Is This Love,182
724,A,Fat Bottomed Girls,183
725,B,Bohemian Rhapsody,183
726,C,Another One Bites the Dust,183
727,D,We Are The Champions,183
728,A,Ill Wait,184
729,B,Panama,184
730,C,Jump,184
731,D,Hot for Teacher,184
732,A,White Rabbitt,185
733,B,Tell Me Lies,185
734,C,Nick Of  Time,185
735,D,We Built This City,185
736,A,Mahogany ( Do You Know Where Your Going To),186
737,B,Im Coming Out,186
738,C,Upside Down,186
739,D,Muscles,186
740,A,Borderline,187
741,B,True Blue,187
742,C,Holiday,187
743,D,La Isla Bonita,187
744,A,Welcome To The Jungle,188
745,B,Lay Lady Lay,188
746,C,Sweet Child O Mine,188
747,D,Mr. Brownstone,188
748,A,Bus Stop,189
749,B,Tell Her No,189
750,C,Turn! Turn! Turn!,189
751,D,The Theme From A Summer Place,189
752,A,(Sittin On) the Dock of the Bay,190
753,B,"Young, Gifted and Black",190
754,C,Ghetto Child,190
755,D,Ode to Billie Joe,190
756,A,Long And Winding Road,191
757,B,Paperback Writer,191
758,C,Hey Jude,191
759,D,Satisfaction,191
760,A,The Sounds of Silence,192
761,B,Me and Julio,192
762,C,The Mary Jane Tastes Fine to Me,192
763,D,Cecilia,192
764,A,Light My Fire,193
765,B,People Are Strange,193
766,C,The Unknown Soldier,193
767,D,"Hello, I Love You",193
768,A,Aquarius/ Let the Sun Shine in,194
769,B,One Less Bell to Answer,194
770,C,Woodstock,194
771,D,The Lion Sleeps Tonight,194
772,A,( I Cant Get No) Satisfaction,195
773,B,Honky Tonk Woman,195
774,C,Ruby Tuesday,195
775,D,Paint It Black,195
776,A,Run Around Sue,196
777,B,Running Bear,196
778,C,The Book Of Love,196
779,D,Runaway,196
780,A,"Sugar, Sugar",197
781,B,Mrs. Robinson,197
782,C,The Sounds Of Silence,197
783,D,Morning Has Broken,197
784,A,Rockin Robin,198
785,B,The Loco-Motion,198
786,C,Its My Party,198
787,D,Set Me Free,198
788,A,Patience,199
789,B,Ill Be There For You,199
790,C,To Be With You,199
791,D,Dream On,199
792,A,Love Bites,200
793,B,Unwell,200
794,C,Oh Sherry,200
795,D,Dont Know What You Got (Till Its Gone),200
796,A,Every Rose Has Its Thorn,201
797,B,More Than Words,201
798,C,Is This Love,201
799,D,Only God Knows Why,201
800,A,Always,202
801,B,When Its Love,202
802,C,I Dont Want To Miss a Thing,202
803,D,Time after Time,202
804,A,I Miss You,203
805,B,Patience,203
806,C,Waiting for a Girl Like You,203
807,D,Dont Know What You Got (Till Its Gone),203
808,A,Is This Love,204
809,B,Angel,204
810,C,To Be With You,204
811,D,Tangled Up In You,204
812,A,Oh Sherry,205
813,B,Bed of Roses,205
814,C,Love Bites,205
815,D,Feel Like Making Love,205
816,A,Unwell,206
817,B,Always,206
818,C,Cant Fight This Feeling,206
819,D,More Than Words,206
820,A,November Rain,207
821,B,Ill Be There For You,207
822,C,Angel,207
823,D,When Its Love,207
824,A,Patience,208
825,B,Waiting for a Girl Like You,208
826,C,Unwell,208
827,D,Every Rose Has Its Thorn,208
828,A,Paul Simon,209
829,B,Frankie Avalon,209
830,C,Frankie Valli,209
831,D,Frank Sinatra Jr.,209
832,A,The Crystals,210
833,B,The Shirelles,210
834,C,The Ronettes,210
835,D,The Chiffons,210
836,A,The Monkees,211
837,B,Simon and Garfunkel,211
838,C,The Supremes,211
839,D,The Beach Boys,211
840,A,Marvin Gaye and Tammi Terrell,212
841,B,Simon and Garfunkel,212
842,C,Ike and Tina Turner,212
843,D,Jan and Dean,212
844,A,Marvin Gaye,213
845,B,Otis Redding,213
846,C,Roy Orbison,213
847,D,Johnny Rivers,213
848,A,"Peter, Paul and Mary",214
849,B,Paul Revere and the Raiders,214
850,C,The Supremes,214
851,D,Simon and Garfunkel,214
852,A,Gene Pitney,215
853,B,Tommy James,215
854,C,Smokey Robinson,215
855,D,Stevie Wonder,215
856,A,Lena,216
857,B,Poco,216
858,C,Ziggy,216
859,D,Nena,216
860,A,Sarah Vaughn,217
861,B,Aretha Franklin,217
862,C,Patti LaBelle,217
863,D,Natalie Cole,217
864,A,Cyndi Lauper,218
865,B,Madonna,218
866,C,Cher,218
867,D,Tina Turner,218
868,A,Joan Jett,219
869,B,El DeBarge,219
870,C,Bonnie Tyler,219
871,D,Lita Ford,219
872,A,Pat Benatar,220
873,B,Bonnie Tyler,220
874,C,Joan Jett,220
875,D,Patty Smith,220
876,A,Whitney Houston,221
877,B,Bonnie Raitt,221
878,C,Cyndi Lauper,221
879,D,Bonnie Bramlett,221
880,A,Edie Brickell,222
881,B,Natalie Merchant,222
882,C,Paula Abdul,222
883,D,Tracy Chapman,222
884,A,Vanessa Del Rio,223
885,B,Jennifer Lopez,223
886,C,Gloria Estefan,223
887,D,Selena,223
888,A,1958,224
889,B,1963,224
890,C,1962,224
891,D,1959,224
892,A,Pete Best,225
893,B,Stu Sutcliffe,225
894,C,Ringo Starr,225
895,D,John Densmore,225
896,A,Hey Jude,226
897,B,Get Back,226
898,C,Long And Winding Road,226
899,D,Ticket To Ride,226
900,A,John Lennon,227
901,B,George Harrison,227
902,C,Paul McCartney,227
903,D,Stu Sutcliffe,227
904,A,The Beacon Theatre,228
905,B,Yankee Stadium,228
906,C,Madison Square Garden,228
907,D,Shea Stadium,228
908,A,True,229
909,B,False,229
910,A,Winston,230
911,B,Walter,230
912,C,William,230
913,D,Oliver,230
914,A,Yesterday,231
915,B,A Hard Days Night,231
916,C,Sgt. Peppers Lonely Hearts Club Band,231
917,D,Help!,231
918,A,The Ed Sullivan Show,232
919,B,The Tonight Show,232
920,C,The Milton Berle Show,232
921,D,The Howdy Doody Show,232
922,A,Berry Gordy,233
923,B,Brian Epstein,233
924,C,Phil Spector,233
925,D,Peter Grant,233
926,A,Let It Be,234
927,B,Meet The Beatles,234
928,C,Abbey Road,234
929,D,The White Album,234
930,A,John Lennon,235
931,B,Paul McCartney,235
932,C,Ringo Starr,235
933,D,Yoko Ono,235
934,A,Sonny James,236
935,B,Marty Robbins,236
936,C,Elvis Presley,236
937,D,Patsy Cline,236
938,A,Patsy Cline,237
939,B,Conway Twitty,237
940,C,Patti Page,237
941,D,Sonny James,237
942,A,Tennessee Ernie Ford,238
943,B,Conway Twitty,238
944,C,Hank Williams,238
945,D,Stonewall Jackson,238
946,A,Johnny Cash,239
947,B,Hank Williams,239
948,C,Patsy Cline,239
949,D,Ray Price,239
950,A,Stonewall Jackson,240
951,B,Dolly Parton,240
952,C,Loretta Lynn,240
953,D,Jimmie Rodgers,240
954,A,Tennessee Ernie Ford,241
955,B,Elvis Presley,241
956,C,Conway Twitty,241
957,D,"Hank Williams, Sr.",241
958,A,Hank Williams,242
959,B,Marty Robbins,242
960,C,George Jones,242
961,D,Webb Pierce,242
962,A,Jerry Lee Lewis,243
963,B,Elvis Presley,243
964,C,Hank Williams,243
965,D,Ray Price,243
966,A,Johnny Horton,244
967,B,Elvis Presley,244
968,C,Ray Price,244
969,D,Johnny Cash,244
970,A,The Browns,245
971,B,Patsy Cline,245
972,C,Kitty Wells,245
973,D,Patti Page,245
974,A,Better Man,246
975,B,Blame it on Your Heart,246
976,C,A Thousand Miles,246
977,D,A Groovy Kind of Love,246
978,A,Bring it All to Me,247
979,B,And I Love You So,247
980,C,Aint it Funny,247
981,D,Always and Forever,247
982,A,Accidentally in Love,248
983,B,2 Become 1,248
984,C,A Promise I Make,248
985,D,Again,248
986,A,Feel Like Making Love,249
987,B,Piece of My heart,249
988,C,Please Dont Stop Loving Me,249
989,D,Falling into You,249
990,A,Heaven in Your Eyes,250
991,B,Hold Me in Your Arms,250
992,C,Have You Ever Been in Love?,250
993,D,Have You Ever Loved a Woman?,250
994,A,Im Your Angel,251
995,B,Ill be there for you,251
996,C,Im a Slave for You,251
997,D,I Knew I Loved You,251
998,A,I Will Always Love You,252
999,B,I Will Remember You,252
1000,C,I Will Follow Him,252
1001,D,I Will Be There,252
1002,A,My Baby You,253
1003,B,Layla,253
1004,C,Maria,253
1005,D,My All,253
1006,A,One Last Cry,254
1007,B,One Love,254
