questionID,questionType,questionText,categoryID,answerOptionID
36,MCQ,And there are voices that want to be heard- So much to mention but you cant find the words,0,145
37,MCQ,"Fab Five Freddy told me everybody was fly- DJ spinning I said, My, My",0,148
38,MCQ,Lying in my bed I hear the clock tick and think of you- Caught up in circles confusion is nothing new,0,155
39,MCQ,Goddess on a mountain top burning like a silver flame- The summit of beauty and love and Venus was her name,0,158
40,MCQ,"Then it happened one day, we came round the same way- You can imagine his surprise when he saw his own eyes- I said Please, please understand- Im in love with another man",0,161
41,MCQ,"Show me a smile then,- Dont be unhappy, cant remember- When I last saw you laughing",0,166
42,MCQ,"We are young, heartache to heartache we stand- No promises, no demands",0,170
43,MCQ,Do you hear them?- They talk about us- Telling lies but thats no surprise,0,175
44,MCQ,What country sensation made her acting debut in Tremors?,0,179
45,MCQ,"What county singer starred in the move,The Gambler?",0,182
46,MCQ,This country singer made her debut in Nine to Five.,0,186
47,MCQ,"This country star, who starred in Slingblade, has been to Hollywood more than once.",0,191
48,MCQ,"This country star has acted with some of the best, as he did in the movie, Black Dog.",0,194
49,MCQ,"This country singer preached a great sermon in the movie, The Redheaded Stranger.",0,199
50,MCQ,"This actress portrayed country singer Patsy Cline in the movie, Sweet Dreams.",0,200
51,MCQ,"This country artist sang his heart out in the motion picture, Pure Country.",0,207
52,MCQ,What country music singer and songwriter made an Oscar winning performance in Alice Doesnt Live Here Anymore?,0,211
53,MCQ,"What country singer plays Dr. Clint Cassidy on TV show, Doc?",0,212
54,MCQ,"We did not see him, but this country music singer was the balladeer for the The Dukes of Hazzard TV series.",0,219
55,MCQ,What country singer made his acting debut in Black Cloud?,0,220
56,MCQ,"Who played country singer, Hank Williams Jr. in Living Proof: The Hank Williams Jr. Story (1983) (TV)?",0,225
57,MCQ,"Who played country music legend, Hank Williams Sr. in Your Cheatin Heart (1964)?",0,230
58,MCQ,This actress played Loretta Lynn in Coal Miners Daughter (1980).,0,233
59,MCQ,"Who played with John Wayne in the 1969 motion picture, True Grit?",0,237
60,MCQ,"This country singer played in the 2004 remake of  the 1975 movie, The Stepford Wives, a story about 1950s housewives.",0,240
61,MCQ,Which movie is this soundtrack from?,0,244
62,MCQ,"In 1968, Janis Joplin recorded this song that begins with the line Sittin down by my window, Honey, lookin out at the rain.",0,250
63,MCQ,"This 1967 hit that opens with the line You know that it would be untrue, you know that I would be a liar, was recorded by The Doors.",0,255
64,MCQ,"Seattle-born Jimi Hendrix recorded this 1968 song that contains the lyrics: There must be some kind of way out of here, said the joker to the thief.",0,257
65,MCQ,"This song, released in 1967 by the group Steppenwolf from Toronto, Canada starts with the line Get your motor running, head out on the highway.",0,260
66,MCQ,"Which song, released by The Rolling Stones in 1965, contains the following lyrics: I live in an apartment on the ninety-ninth floor of my block?",0,267
67,MCQ,"Which song, released by The Who in 1965 begins with the lyrics: People try to put us down, just because weve been around?",0,268
68,MCQ,"This song, included in the 1977 album by Fleetwood Mac, opens with the following lines: Now here you go again. You say you want your freedom.",0,274
69,MCQ,"In 1965, The Beatles sang the lyrics, I think Im gonna be sad, I think its today, yeah, that come from which song?",0,279
70,MCQ,"On a dark desert highway, cool wind in my hair is the opening line of which 1976 song, recorded by The Eagles?",0,282
71,MCQ,"This hit, recorded in 1970 by Led Zeppelin, begins with the lyrics: We come from the land of the ice and snow, from the midnight sun where the hot springs blow.",0,285
72,MCQ,"What 80s song are these lyrics from?- When a problem comes along, you must whip it!",0,290
73,MCQ,"The following lyrics are from which 80s song and performer?- I got my first real six-string, bought it at the five-and-dime",0,294
74,MCQ,"Which 80s song and performer are these lyrics from?- Red , gold and green. Red, gold and green!",0,298
75,MCQ,Which of the following lyrics are not from a song written in the 1980s?,0,300
76,MCQ,Name the song title and performer of these 80s lyrics:- Hoping to find some old forgotten words or ancient melodies.,0,306
77,MCQ,What 80s song are these lyrics taken out of?- The plan was we would share this feeling just between ourselves.,0,309
78,T/F,Venus by Bananarama is the original version of the song.,0,313
79,MCQ,"In 1973 this singer, comedian and actress recorded The Night the Lights Went Out in Georgia, a song written by her husband, Bobby Russel.",0,317
80,MCQ,"This group, formed in 1973 in Edinburgh, Scotland, had huge chart success in the UK with the song entitled Magic.",0,319
81,MCQ,"This pop singer and songwriter, born in Montreal, Canada performed Rock Me Gently, a  #1 hit single on the American charts in 1974.",0,325
82,MCQ,"This band, formed in Nottingham in 1969, recorded the song The Night Chicago Died, which starts with the following words: My daddy was a cop on the east side of Chicago.",0,329
83,MCQ,"This Brazilian singer and songwriter became famous with his 1975 hit, Feelings.",0,332
84,MCQ,"This group, formed in 1969 at Rutgers University in New Jersey, had one #1 hit in 1972 -- Brandy (Youre A Fine Girl).",0,334
85,MCQ,"This band, formed in New York City, became famous in 1973 with the hit single Dancing in the Moonlight.",0,340
86,MCQ,"This performer and songwriter recorded the song, I Like Dreamin , which reached #3 on the Billboard singles chart in 1976 and stayed in the Top 40 for a 20-week run.",0,345
87,MCQ,"This group released a cover of Brother Louie, a song about an interracial love affair, which begins with the words: She was black as the night, Louie was whiter than white.",0,346
88,MCQ,"This Grammy-winning American songwriter and singer released her most successful single, At Seventeen in 1975, a song about teenage fears and anxiety.",0,353
89,MCQ,Busted flat in Baton Rouge- Waiting for a train- I was feeling nearly as faded as my _______,0,355
90,MCQ,The worst is over now- And we can breathe again- I wanna hold you high and steal ______,0,359
91,MCQ,Call you up in the middle of the night- Like a firefly without any light- You were there like a ________,0,363
92,MCQ,Nothings true and nothings right- So let me be alone tonight- Cause you cant change the way I am- Are you ___________,0,367
93,MCQ,Ive seen your face a thousand times- Every day weve been apart- And I dont care about ________,0,373
94,MCQ,Say it aint so- I will not go- Turn the lights off- ______________,0,376
95,MCQ,Ones got a weasel and the others got a flag- Ones on the pole shove the other in a  _______.,0,378
96,MCQ,Im so happy- Cause today I found my friends theyre in my head- Im so ugly- Thats okay cause so ________,0,384
97,MCQ,I am a little bit of loneliness a little bit of disregard- But thats okay cause I cant help the fact- That everyone can see these ___________,0,388
98,MCQ,Youll get the message by the time Im through- When I complain about ________,0,392
99,MCQ,"This band from the 80s, formed in Leeds, England, had a huge hit in 1981 with Tainted Love.",0,395
100,MCQ,"What British one-hit wonder group struck gold in 1991 with their #1 hit the U.S, Im Too Sexy?",0,400
101,MCQ,This American-born singer had a #1 hit in the U.S  with The Loco-Motion.,0,403
102,MCQ,"This American-born one-hit wonder singer/rapper had a #1 hit in 1990 with the song Ice, Ice Baby.",0,407
103,MCQ,Which American-born  one-hit wonder singer/actress had a huge hit in 1982 with Mickey?,0,413
104,MCQ,This Jamaican-born singer struck gold in 1974 with his #1 U.S/U.K single Kung-Fu Fighting.,0,415
105,MCQ,This American-born one-hit wonder singer had a #5 hit in the U.S. in 1967 with San Francisco (Be Sure to Wear Flowers In Your Hair).,0,418
106,MCQ,Which Grammy Award-winning singer recorded the huge 1991hit Walking in Memphis?,0,424
107,MCQ,This one-hit wonder rapper/producer hit the big time in 1992 with Baby Got Back.,0,428
108,MCQ,This American one-hit wonder duo struck it rich in 1969 with their U.S  #1 hit In the Year 2525.,0,431
109,MCQ,"This Canadian band came out with the song Safety Dance, which after being released in 1982 in the USA, soared to the top of the billboard charts.",0,434
110,MCQ,"The song Pac Man Fever was created after the video game Pac Man, which was a craze that swept the USA in the 80s. Who recorded the song in 1982?",0,438
111,MCQ,"This singer performed the song Never Gonna Give You Up, which after being released in 1987, spent five weeks at the top of the British charts.",0,445
112,MCQ,"In 1982 this progressive rock group released Heat Of The Moment, a song that reached #4 on US charts.",0,449
113,MCQ,This Australian reggae-influenced rock band released their debut album Business As Usual in 1982.,0,453
114,MCQ,"This Guyana-born musician released the song Electric Avenue which, in 1983, became both U.S. and UK number 2?",0,454
115,MCQ,"This African American soul singer released the 1985 album Rock Me Tonight, which contains two Top 20 songs, You Are My Lady and Rock Me Tonight ( for Old Times Sake).",0,461
116,MCQ,"This RB and dance music singer recorded her first album at the age of 12. The album, produced and arranged by  Van McCoy featured the disco tune When Youre Young and in Love.",0,463
117,MCQ,"This British pop-reggae band recorded the hit Pass the Dutchie, one of the best-selling singles of 1982.",0,467
118,MCQ,"In 1987 this rock-jazz-pop band released their debut album entitled Its Better To Travel , which included the single Breakout.",0,471
119,MCQ,"Jody Watley was a part of this disco-driven group, founded in the late 70s.",0,476
120,MCQ,"Peter Wolf played with this popular rock and roll band in the 70s, that moved toward a more pop-influenced style in the 80s.",0,478
121,MCQ,"Although Limahl  was later fired after a disagreement, this group went to number 1 on the UK charts with his help.",0,483
122,MCQ,"Morrissey was a member of this British rock group from 1982 to 1987, before leaving to focus on his solo career.",0,487
123,MCQ,Which of these bands was Steve Winwood not a member of?,0,491
124,T/F,Jimmy Jam and Terry Lewis were members of The Time.,0,495
125,MCQ,"Don Henley was a vocalist, drummer, and guitarist with this group.",0,498
126,MCQ,Belinda Carlisle used to do lead vocals for this 80s punk girl group.,0,500
127,MCQ,Steve Perry made his public debut as singer for this band in October 1977.,0,506
128,MCQ,Name the performer of this 80s hit song.,0,508
129,MCQ,If You Want Blood Youve Got It,0,512
130,MCQ,Diary of a Madman,0,517
131,MCQ,The Sad Wings of Destiny,0,520
132,MCQ,Operation: Mindcrime,0,527
133,MCQ,Killing is my Business...and Business is Good,0,531
134,MCQ,Zipper Catches Skin,0,534
135,MCQ,Fabulous Disaster,0,538
136,MCQ,Piece of Mind; Powerslave; Live After Death,0,540
137,MCQ,This Toilet Earth; Ragnarok,0,545
138,MCQ,La Sexorcisto: Devil Music Volume 2,0,550
139,MCQ,"The Woodstock Music and Art Festival, was held in Bethel, New York, on 15, 16, and 17 August of what year?",0,555
140,MCQ,"Vanilla Fudge was an American psychedelic rock band, whose members included organist Mark Stein, bassist Tim Bogert, lead guitarist Vince Martell, and this well-travelled and versatile rock drummer.",0,558
141,MCQ,"What year did British rock band, Led Zeppelin release their first, self-titled album?",0,560
142,MCQ,"The Mothers of Invention were a rock and roll band active from the 1960s to the 1990s, that originally consisted of drummer Jimmy Carl Black, bassist Roy Estrada, saxophonist Davy Coronado, guitarist Ray Hunt, and singer Ray Collins.  After Ray Hunt left the group in 1964, what  famous American composer, guitarist, singer and satirist took his spot?",0,566
143,MCQ,"British progressive rock band, Procol Harum, was formed in the early 1960s by Robin Trower and this lead singer, who was awarded the Member of the Order of the British Empire in the Queens Birthday Honours on June 14, 2003.",0,571
144,MCQ,"This British rock band, best-known for their hit singles Keep On Running, Gimme Some Lovin and Im a Man, was vocalist Steve Winwoods first group.",0,572
145,MCQ,"Musician Donovan Philips Leitch, simply known as Donovan, was born on May 10, 1946 in what country?",0,577
146,MCQ,"Jimmy Page, one of the most influential guitarists in rock and roll, played for this band, before forming Led Zeppelin.",0,583
147,MCQ,What is the name of the song which was a #1 hit for The Knack in 1979?,0,585
148,MCQ,Which song recorded by Simon  Garfunkel was a # 1 song in 1970?,0,588
149,MCQ,What hit performed by The Rolling Stones was a # 1 song in 1973?,0,594
150,MCQ,The group Chicago scored big in 1976 with this #1 song.,0,597
151,MCQ,What is the name of this song that was a #1 hit for Debby Boone in 1977?,0,601
152,MCQ,What song by Andy Gibb topped the charts in 1977?,0,607
153,MCQ,Which song was a #1 hit for The Jackson 5 in 1970?,0,608
154,MCQ,Which song was a #1 hit for Olivia Newton-John in 1974?,0,614
155,MCQ,What song by Don McLean became a #1 song in  the U.S in 1972?,0,616
156,MCQ,He is best known for his 1976 Top 5 single Lonely Boy and the 1978 single Thank You For Being A Friend.,0,621
157,MCQ,"Who sang How Long,  a single with significant chart success, achieving a place in the top 20 UK Singles Chart, and reaching number 3 USA charts?",0,627
158,MCQ,"What year did the song Gypsies, Tramps and Thieves skyrocket to the top of the charts?",0,631
159,MCQ,"Who performed 70s hit, Undercover Angel?",0,632
160,MCQ,"Who performed Day after Day, a track from the 1971 album, Straight Up?",0,639
161,MCQ,"What early to mid-1970s group, originally called Bl̴blus, made a successful cover of B. J. Thomas 1969 song, Hooked on a Feeling?",0,640
162,MCQ,"Hitch hike was a dance craze of 1960s, which started with the 1963 Marvin Gaye hit, Hitch Hike and re-energized with Hitchin a Ride, a hit song performed by this band in 1970.",0,644
163,MCQ,"Their career took off in 1971 with Hey You Love, after which two number one hits followed --  Hello-A and How Do You Do, in 1972.",0,648
164,MCQ,"Chevy Van, a 1974 song which tells a story about a driver, who picks up a girl, was performed by what singer?",0,652
165,MCQ,"Who sang the massive, international 1974 hit, Beach Baby?",0,656
166,MCQ,"What British pop group performed several hit songs, including the 1970 My Baby Loves Lovin and the 1971 When You Are a King.",0,660
167,MCQ,"What rock band, originally called Fat City, sang the 1976 hit, Afternoon Delight?",0,665
168,MCQ,"What British singer performed the 1972 hit, Beautiful Sunday?",0,670
169,MCQ,"What RB and soul singer, best known for her hits in the 1970s, performed the single, Right Back Where We Started From in 1975?",0,672
170,MCQ,"Who performed the hit song Having My Baby in 1976, in duet with Odia Coates?",0,676
171,T/F,Elvis made his first record as a surprise gift for his mom.,0,681
172,MCQ,Where did Elvis movie Jailhouse Rock premiere?,0,682
173,MCQ,What Elvis Presley song was written by Mac Davis and had the alternate title The Vicious Circle ?,0,687
174,MCQ,Is there really  a Heartbreak Hotel down at the end of Lonely Street as the famous Elvis song goes?,0,691
175,MCQ,Who was in an Elvis movie as a child and then went on to play him as an adult?,0,693
176,MCQ,Which President did Elvis meet at the White House?,0,697
177,MCQ,The American rock band Survivor had a #1 song in 1982. What was the name of this song?,0,701
178,MCQ,Welsh singer Bonnie Tyler had massive success with what #1 song in 1983?,0,706
179,MCQ,Eddie Rabbitt  Crystal Gayle joined forces in 1983 and had a massive hit in the United States. What was the name of their song that reached #5 on the Billboard charts?,0,710
180,MCQ,What 1984 hit song by Prince was declared the top-selling single of the year by the Billboard magazine?,0,714
181,MCQ,In 1980 US pop music duo Captain  Tennille reached #1 charts with what song?,0,719
182,MCQ,Which song by Whitesnake was a # 1 song in 1987?,0,720
183,MCQ,Which song by Queen from their album The Game reached #1 on the U.S. Billboard Hot 100 in 1980?,0,726
184,MCQ,Which Van Halen song reached #1 in 1984 and was listed among the top 500 most influential songs in the Rock and Roll Hall of Fame?,0,730
185,MCQ,What 1985 hit song by Starship was awarded in 2004 The #1 Most Awesomely Bad Song Ever by Blender magazine?,0,735
186,MCQ,Which of these songs by Diana Ross became her fifth number-one single in 1980?,0,738
187,MCQ,"In 1987, this song by Madonna was a #4 hit and became the fifth US top-five hit from her album True Blue.",0,743
188,MCQ,What Guns N Roses song that reached #7 on the charts in 1988 was used as a soundtrack of Clint Eastwoods 1988 film The Dead Pool?,0,744
189,MCQ,What is the name of the song which was a #1 hit  on the U.S charts for The Byrds in 1965?,0,750
190,MCQ,Name this song which was a #1 hit on the U.S charts for Otis Redding in 1968?,0,752
191,MCQ,What song by The Beatles was a #1 hit on the U.S. charts in 1968?,0,758
192,MCQ,What Simon  Garfunkel song was a #1 hit on the U.S charts in 1966?,0,760
193,MCQ,What song was a #1 hit on the U.S charts  for The Doors in 1967?,0,764
194,MCQ,What song by The Fifth Dimension topped the U.S charts in 1969?,0,768
195,MCQ,What is the name of The Rolling Stones song which was a #1 hit  on the U. S charts in 1969?,0,773
196,MCQ,What is the name of the song recorded by Del Shannon which was a # 1 hit on the U.S charts in 1961?,0,779
197,MCQ,What song performed by Simon  Garfunkel was a #1 hit on the U. S charts in 1968?,0,781
198,MCQ,What song by Little Eva was a #1 song on the U. S charts in 1962?,0,785
199,MCQ,Stand up little girl- Show me what hes done to you,0,790
200,MCQ,And you should have been gone- Knowing how I made you feel,0,794
201,MCQ,So I hear you found somebody new- And that I never meant that much to you- To hear that tears me up inside- And to see you cuts me like a knife,0,796
202,MCQ,Ill be there till the stars dont shine- Till the heavens burst and the words dont rhyme,0,800
203,MCQ,Shed a tear cause Im missing you- But Im still alright to smile,0,805
204,MCQ,Dont know what Im gonna do- About this feeling inside,0,809
205,MCQ,I dont wanna touch you too much baby- Cause making love to you might drive me crazy,0,814
206,MCQ,Then you wouldnt have to say- That you loved me- Cause Id already know,0,819
207,MCQ,Everybodys lookin for somethin- Somethin to fill in the holes,0,823
208,MCQ,This heart of mine has been hurt before- This time I wanna be sure,0,825
209,MCQ,"Which musician, best known as lead singer of The Four Seasons, has guest starred on the hit series The Sopranos?",0,830
210,MCQ,"This girl group, formed in New Jersey in 1958, became famous with hits such as Will You Love Me Tomorrow, Dedicated to the One I Love, and Mama Said.",0,833
211,MCQ,"This musical group, created to be the stars of an American television series of the same name, recorded the hit Im a Believer.",0,836
212,MCQ,The Sounds of Silence was a major hit for which duo?,0,841
213,MCQ,"This singer recorded the songs Only The Lonely, Oh, Pretty Woman, and Crying, which were inducted in the Grammy Hall of Fame.",0,846
214,MCQ,"Which was one of the most successful folk-singing groups of the 1960s, inducted into the Vocal Group Hall of Fame in 1999?",0,848
215,MCQ,"This pop-rock singer started performing at the age of 12 and by the time he reached 19, he had a million seller with Hanky Panky.",0,853
216,MCQ,This 80s German born one-hit wonder struck gold in 1984 with the smash hit song 99 Luft Balloons.,0,859
217,MCQ,This female singer loved you for your Pink Cadillac in 1988.,0,863
218,MCQ,This superstar who dominated the 80s wanted to Dress You up and Live to Tell about it.,0,865
219,MCQ,This female singer had a #1 hit with her group The Blackhearts in 1982. The name of the song was I Love Rock N Roll.,0,868
220,MCQ,"This 80s music legend was born in Brooklyn, New York and had several top 10 hits in the 70s. Her hit Shadows of the Night reached # 13 on the U.S. charts in 1982.",0,872
221,MCQ,"This female singer was pretty much down and out on her luck due to poor album sales in the 1970s. She had a resurgence in 1989,  just in a Nick of Time. In 1991 she had a smash hit song (#5 in the U.S. ) called Something to Talk About.",0,877
222,MCQ,This female singer burst onto the scene in 1988 with her smash hit Fast Car (#6 in the U.S. ).,0,883
223,MCQ,This female Cuban-born singer was the lead singer for a band out of the Miami area. She burst onto the scene in 1985 with the smash hit single Conga ( #10 in the U.S.). What is the name of this Latin Queen of Pop?,0,886
224,MCQ,What year were The Beatles formed?,0,891
225,MCQ,Who was the original drummer of the popular rock group The Beatles?,0,892
226,MCQ,What was the last # 1song by The Beatles to hit the U.S charts?,0,898
227,MCQ,Who was the first member of The Beatles to wear his hair in the long shaggy style that came to be known as The Beatle Haircut?,0,903
228,MCQ,"In 1965, The Beatles performed in New York City, at what venue?",0,907
229,T/F,The popular group The Beatles were awarded the MBE (Member Of The Order Of The British Empire) on October 26th 1965 at The Buckingham Palace.,0,908
230,MCQ,What was John Lennons middle name at birth?,0,910
231,MCQ,What was the name of the first Beatles movie?,0,915
232,MCQ,"What was the name of the first  American television show, on which the popular rock group The Beatles appeared?",0,918
233,MCQ,Who was the manager of the popular rock group The Beatles?,0,923
234,MCQ,What album by The Beatles includes the songs Come Together and Maxwells Silver Hammer?,0,928
235,MCQ,"On April 10th 1970, which member of The Beatles publicly announced the breakup of the band?",0,931
236,MCQ,"What country music singer recorded the 45rpm single, Young Love 1956?",0,934
237,MCQ,"What country music singer performed the breakthrough hit, Walkin after Midnight in 1957?",0,938
238,MCQ,He scored an unexpected hit on the charts in 1955 with his version of Merle Travis Sixteen Tons.,0,942
239,MCQ,"Who recorded the song, I Walk The Line in 1955, which tells the story of the singer, staying faithful to his wife while on the road.",0,946
240,MCQ,"What country musician sang the song, Waterloo in the 1950s?",0,950
241,MCQ,"What influential country musician performed the number one single, Hey Good-Looking in the 1950s?",0,957
242,MCQ,"What American country singer, known for his distinctive voice sang White Lightning in the 1950s?",0,960
243,MCQ,"What musician recorded the song, Heartbreak Hotel in January, 1956?",0,963
244,MCQ,"What singer recorded Otis Blackwells song, Dont Be Cruel in 1956?",0,967
245,MCQ,"What American country musician recorded It Wasnt God Who Made Honky Tonk Angels in 1952, after switching to The Supreme Record Company, Decca Records?",0,972
246,MCQ,"When Im feeling blue, all I have to do- Is take a look at you, then Im not so blue",0,977
247,MCQ,Sometimes I think that a true love can never be- I just believe that somehow it wasnt meant for me,0,980
248,MCQ,I need some love like I never needed love before- (Wanna make love to ya baby),0,983
249,MCQ,I was afraid to let you in here- Now I have learned love cant be made in fear,0,989
250,MCQ,To really love a woman- To understand her- You gotta know her deep inside,0,993
251,MCQ,"Ill be there for you, these five words I swear to you- When you breathe, I wanna be the air for you- Ill be there for you",0,995
252,MCQ,"If I should stay,- I would only be in your way.- So Ill go, but I know- Ill think of you evry step of the way",0,998
253,MCQ,Whatll you do when you get lonely- And nobodys waiting by your side?- Youve been running and hiding much too long.- You know its just your foolish pride,0,1003
254,MCQ,"One Love, One Heart- Lets get together and feel all right",0,1007
255,MCQ,When I was young- I never needed anyone- And making love was just for fun,0,1013
256,MCQ,This Canadian singing sensation from the 90s had a # 1 hit in the United States with The Power of Love.,0,1015
257,MCQ,"This superstar singer wowed us in 1990 with her smash hit, Vision of Love.",0,1021
258,MCQ,"In 1996, this super talented female singer had a #1 hit in the United States with Youre Makin Me High.",0,1025
259,MCQ,"This Grammy Award-winning female artist had a smash hit in 1999 with Baby One More Time, a song which ultimately catapulted her to fame.",0,1028
260,MCQ,"This Christian female singer had a smash hit single in 1991 with Baby, Baby that reached #1 in the U.S.",0,1033
261,MCQ,This 90s female singer recorded the smash hit You Were Meant for Me in 1997.,0,1035
262,MCQ,This female artist provided the vocals for the 90s band The Fugees. She went on to have a #1 hit in 1998 with the song Doo Wop(That Thing).,0,1038
263,MCQ,"In the 90s, this female singers debut album Jagged Little Pill sold over 30 million copies and spawned the #1 hit Hand in My Pocket.",0,1045
264,MCQ,This former Miss America had lots of success in the music industry. Her Save the Best for Last was a #1 song in 1992.,0,1048
265,MCQ,"Kevin Bacon and his brother, Michael, are well respected musicians. Their band has played with Hall  Oates and opened for The Band at Carnegie Hall. What is the name of their band?",0,1053
266,MCQ,"Who performed the hit single Sundown, included in the self-titled 1974 album?",0,1057
267,MCQ,Who sang the 1982 song Blister in the Sun?,0,1059
268,MCQ,Which group recorded the melancholy ballad Ill Follow the Sun?,0,1065
269,MCQ,Who recorded the song Sunshine on My Shoulders released in 1973?,0,1067
270,MCQ,House of the Rising Sun became the signature song of which band formed in the early 1960s?,0,1070
271,MCQ,"Who sang the song Seasons in the Sun, which rose to number one in the USA in 1974?",0,1075
272,MCQ,Which grunge band recorded the 1994 song Black Hole Sun?,0,1078
273,MCQ,Which group became famous in 1999 for the song Steal My Sunshine?,0,1082
274,MCQ,Who wrote and performed the popular song Dont Let the Sun Go Down on Me?,0,1086
275,MCQ,Which of these bands is known for the smash hit Walking on Sunshine?,0,1090
276,MCQ,The name of Australian singing trio Bee Gees appeared in which of these ways?,0,1094
277,MCQ,Which of these is a British electronic music band named after a French fashion magazine?,0,1098
278,MCQ,The name of hip hop band N.E.R.D is loosely based on a reference to a law in which of these scientific fields?,0,1105
279,MCQ,The name of post-grunge rock band Nickelback is related to which of these aspects of its bass guitarists life?,0,1109
280,MCQ,Australian pop duo Savage Garden owe their name to what work of art?,0,1113
281,MCQ,American electronic musician Moby owes his name to his great-great-granduncle whose profession was what?,0,1114
282,MCQ,"The members of rock duo The White Stripes, Jack and Meg White, wanted their band name to symbolize childhood and innocence. To which of these is the bands name related?",0,1120
283,MCQ,"American hip hop performer James Todd Smith III is better known by his stage name, LL Cool J, which stands for what?",0,1123
284,MCQ,Foo Fighters derived their name from a term used by pilots from the Allied forces during World War II to describe what?,0,1126
285,T/F,English heavy metal band Iron Maiden is named after a historic female character from the medieval European witchcraft folklore.,0,1131
286,MCQ,What group had a #1 hit in 1987 with the song Alone?,0,1133
287,MCQ,What band out of the state of New Jersey was Livin on a Prayer in 1987?,0,1136
288,MCQ,What #1 song from 1987 was featured in the smash hit movie  Dirty Dancing ?,0,1140
289,MCQ,What group had a massive #1 hit in 1987 with the title track from the La Bamba soundtrack?,0,1144
290,MCQ,What group had a #1 hit in 1987 with Lost in Emotion?,0,1151
291,MCQ,Who had a #1 single in 1987 with the song Faith?,0,1152
292,MCQ,This group had a #1 hit song in 1987 with a reggae style version of the Bill Withers hit song from the 70s called Lean on Me.,0,1158
293,MCQ,This female singer had a #1 song in 1987 with a remake of The Supremes 1966 hit You Keep Me Hangin On.,0,1160
294,MCQ,This Billy Vera and the Beaters song was featured on the hit television show Family Ties and stayed in the #1 position for 2 straight weeks in 1987.,0,1167
